date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:31	14674/14674	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2014:14:33%20GMT	https://www.templatemonsterpreview.com/demo/159989.html?_gl=1*1swkjay*_ga*OTA3Nzk0NzguMTYzODkwNjM2OA..*_ga_FTPYEGT5LY*MTYzODk2NzU0Ny4yLjEuMTYzODk2Nzc5MS4xNQ..&_ga=2.114362567.1781975277.1638906368-90779478.1638906368	C:/My%20Websites/manga/www.templatemonsterpreview.com/demo/1599894a63.html	(from )
15:14:32	115/115	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2014:14:34%20GMT	https://www.templatemonsterpreview.com/robots.txt		(from )
15:14:32	14674/14674	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2014:14:34%20GMT	https://www.templatemonsterpreview.com/demo/159989.html	C:/My%20Websites/manga/www.templatemonsterpreview.com/demo/159989.html	(from https://www.templatemonsterpreview.com/demo/159989.html?_gl=1*1swkjay*_ga*OTA3Nzk0NzguMTYzODkwNjM2OA..*_ga_FTPYEGT5LY*MTYzODk2NzU0Ny4yLjEuMTYzODk2Nzc5MS4xNQ..&_ga=2.114362567.1781975277.1638906368-90779478.1638906368)
15:14:33	3045/3045	---M--	200	added ('OK')	image/png	etag:%226076c0af-be5%22	https://s3sf.tmimgcdn.com/mstile-144x144.png	C:/My%20Websites/manga/s3sf.tmimgcdn.com/mstile-144x144.png	(from https://www.templatemonsterpreview.com/demo/159989.html?_gl=1*1swkjay*_ga*OTA3Nzk0NzguMTYzODkwNjM2OA..*_ga_FTPYEGT5LY*MTYzODk2NzU0Ny4yLjEuMTYzODk2Nzc5MS4xNQ..&_ga=2.114362567.1781975277.1638906368-90779478.1638906368)
15:14:33	5774/5774	---M--	200	added ('OK')	image/png	etag:%226076c0af-168e%22	https://s3sf.tmimgcdn.com/pinterest-logo.png	C:/My%20Websites/manga/s3sf.tmimgcdn.com/pinterest-logo.png	(from https://www.templatemonsterpreview.com/demo/159989.html?_gl=1*1swkjay*_ga*OTA3Nzk0NzguMTYzODkwNjM2OA..*_ga_FTPYEGT5LY*MTYzODk2NzU0Ny4yLjEuMTYzODk2Nzc5MS4xNQ..&_ga=2.114362567.1781975277.1638906368-90779478.1638906368)
15:14:35	161282/161282	---M--	200	added ('OK')	image/jpeg	date:Tue,%205%20Oct%202021%2015:28:28%20GMT	https://s.tmimgcdn.com/scr/1200x750/159900/animotra-online-anime-and-manga-website-template_159989-original.jpg	C:/My%20Websites/manga/s.tmimgcdn.com/scr/1200x750/159900/animotra-online-anime-and-manga-website-template_159989-original.jpg	(from https://www.templatemonsterpreview.com/demo/159989.html?_gl=1*1swkjay*_ga*OTA3Nzk0NzguMTYzODkwNjM2OA..*_ga_FTPYEGT5LY*MTYzODk2NzU0Ny4yLjEuMTYzODk2Nzc5MS4xNQ..&_ga=2.114362567.1781975277.1638906368-90779478.1638906368)
15:14:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2008%20Dec%202021%2014:14:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Websites/manga/www.googletagmanager.com/gtm.55445.delayed	(from https://www.templatemonsterpreview.com/demo/159989.html?_gl=1*1swkjay*_ga*OTA3Nzk0NzguMTYzODkwNjM2OA..*_ga_FTPYEGT5LY*MTYzODk2NzU0Ny4yLjEuMTYzODk2Nzc5MS4xNQ..&_ga=2.114362567.1781975277.1638906368-90779478.1638906368)
15:14:36	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Dec%202021%2014:14:37%20GMT	http://www.templatemonster.com/assets/css/demo-36d4160d0a369df8cbc7.css	C:/My%20Websites/manga/www.templatemonster.com/assets/css/demo-36d4160d0a369df8cbc7.6.delayed	(from https://www.templatemonsterpreview.com/demo/159989.html?_gl=1*1swkjay*_ga*OTA3Nzk0NzguMTYzODkwNjM2OA..*_ga_FTPYEGT5LY*MTYzODk2NzU0Ny4yLjEuMTYzODk2Nzc5MS4xNQ..&_ga=2.114362567.1781975277.1638906368-90779478.1638906368)
15:14:37	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Dec%202021%2014:14:39%20GMT	http://www.templatemonster.com/assets/js/commons-da56dff7a2a39442c749.js	C:/My%20Websites/manga/www.templatemonster.com/assets/js/commons-da56dff7a2a39442c749.js	(from https://www.templatemonsterpreview.com/demo/159989.html?_gl=1*1swkjay*_ga*OTA3Nzk0NzguMTYzODkwNjM2OA..*_ga_FTPYEGT5LY*MTYzODk2NzU0Ny4yLjEuMTYzODk2Nzc5MS4xNQ..&_ga=2.114362567.1781975277.1638906368-90779478.1638906368)
15:14:37	40072/40072	---MCZ	200	added ('OK')	text/css	etag:W/%22619fb058-9c88%22	https://www.templatemonster.com/assets/css/demo-36d4160d0a369df8cbc7.css	C:/My%20Websites/manga/www.templatemonster.com/assets/css/demo-36d4160d0a369df8cbc7.css	(from https://www.templatemonsterpreview.com/demo/159989.html?_gl=1*1swkjay*_ga*OTA3Nzk0NzguMTYzODkwNjM2OA..*_ga_FTPYEGT5LY*MTYzODk2NzU0Ny4yLjEuMTYzODk2Nzc5MS4xNQ..&_ga=2.114362567.1781975277.1638906368-90779478.1638906368)
